time;GAST;deltaT;deltaTabs
-127000000;20.77706242;0.149621964;0.149621964
-126000000;20.92540264;0.148340225;0.148340225
-125000000;21.09925842;0.173855782;0.173855782
-124000000;21.56276035;0.46350193;0.46350193
-123000000;22.05527592;0.492515564;0.492515564
-122000000;22.54458427;0.489308357;0.489308357
-121000000;23.03358555;0.489001274;0.489001274
-120000000;23.40519142;0.371605873;0.371605873
-119000000;22.6463623;-0.758829117;0.758829117
-118000000;21.77260876;-0.873753548;0.873753548
-117000000;20.8957653;-0.876843452;0.876843452
-116000000;20.01653481;-0.879230499;0.879230499
-115000000;19.2291584;-0.787376404;0.787376404
-114000000;19.32386017;0.094701767;0.094701767
-113000000;19.5064497;0.182589531;0.182589531
-112000000;19.68908978;0.182640076;0.182640076
-111000000;19.86990643;0.18081665;0.18081665
-110000000;20.03420639;0.164299965;0.164299965
-109000000;20.08002949;0.045823097;0.045823097
-108000000;20.1101923;0.030162811;0.030162811
-107000000;20.13955975;0.029367447;0.029367447
-106000000;20.16701698;0.027457237;0.027457237
-105000000;20.22257805;0.055561066;0.055561066
-104000000;20.58132458;0.358746529;0.358746529
-103000000;20.96869469;0.38737011;0.38737011
-102000000;21.35594845;0.387253761;0.387253761
-101000000;21.74007034;0.384121895;0.384121895
-100000000;22.14868546;0.408615112;0.408615112
-99000000;22.81502628;0.666340828;0.666340828
-98000000;23.49691772;0.681891441;0.681891441
-97000000;24.17905045;0.682132721;0.682132721
-96000000;24.85746956;0.678419113;0.678419113
-95000000;25.49297237;0.635502815;0.635502815
-94000000;25.69269276;0.199720383;0.199720383
-93000000;25.84583282;0.153140068;0.153140068
-92000000;25.99853992;0.1527071;0.1527071
-91000000;26.15124416;0.152704239;0.152704239
-90000000;26.2499485;0.098704338;0.098704338
-89000000;25.8770113;-0.372937202;0.372937202
-88000000;25.45305634;-0.423954964;0.423954964
-87000000;25.02870274;-0.4243536;0.4243536
-86000000;24.59926224;-0.429440498;0.429440498
-85000000;24.15251255;-0.446749687;0.446749687
-84000000;23.55424595;-0.598266602;0.598266602
-83000000;22.93592739;-0.618318558;0.618318558
-82000000;22.31579781;-0.620129585;0.620129585
-81000000;21.69516563;-0.620632172;0.620632172
-80000000;21.10875511;-0.586410522;0.586410522
-79000000;20.92055225;-0.188202858;0.188202858
-78000000;20.77161217;-0.148940086;0.148940086
-77000000;20.61901951;-0.152592659;0.152592659
-76000000;20.46550655;-0.153512955;0.153512955
-75000000;20.31970215;-0.145804405;0.145804405
-74000000;20.26385021;-0.055851936;0.055851936
-73000000;20.21483135;-0.04901886;0.04901886
-72000000;20.1643362;-0.050495148;0.050495148
-71000000;20.11270142;-0.051634789;0.051634789
-70000000;20.10861683;-0.004084587;0.004084587
-69000000;20.6576643;0.54904747;0.54904747
-68000000;21.257514;0.599849701;0.599849701
-67000000;21.85555649;0.598042488;0.598042488
-66000000;22.45234299;0.596786499;0.596786499
-65000000;22.97217274;0.51982975;0.51982975
-64000000;22.72501945;-0.247153282;0.247153282
-63000000;22.40060902;-0.324410439;0.324410439
-62000000;22.07677937;-0.323829651;0.323829651
-61000000;21.75173473;-0.325044632;0.325044632
-60000000;21.48153019;-0.270204544;0.270204544
-59000000;21.7725668;0.291036606;0.291036606
-58000000;22.11693382;0.344367027;0.344367027
-57000000;22.45852089;0.341587067;0.341587067
-56000000;22.79954052;0.34101963;0.34101963
-55000000;23.1275301;0.327989578;0.327989578
-54000000;23.3171854;0.189655304;0.189655304
-53000000;23.49119377;0.174008369;0.174008369
-52000000;23.66629791;0.175104141;0.175104141
-51000000;23.83827114;0.171973228;0.171973228
-50000000;23.94475651;0.106485367;0.106485367
-49000000;23.44870281;-0.496053696;0.496053696
-48000000;22.89007664;-0.558626175;0.558626175
-47000000;22.32602978;-0.56404686;0.56404686
-46000000;21.76323605;-0.562793732;0.562793732
-45000000;21.23007393;-0.533162117;0.533162117
-44000000;21.01068592;-0.219388008;0.219388008
-43000000;20.81908417;-0.191601753;0.191601753
-42000000;20.6254282;-0.193655968;0.193655968
-41000000;20.41965771;-0.205770493;0.205770493
-40000000;20.19234943;-0.227308273;0.227308273
-39000000;19.78834343;-0.404006004;0.404006004
